Instance,Profit,WaitingTime,TotalTasks,Iterations,RunTime,source_file,category
7_2_1,1042,992.0,356,157,7249.9101,ISALS,Flexi
7_5_1,2056,3209.0,802,465,7214.5539,ISALS,Flexi
7_2_1,1063,1508.0,358,712,7220.0831,SAILS,Flexi
7_5_1,2052,3760.0,790,614,7224.8758,SAILS,Flexi
7_2_1,1056,1732.0,357,6193,7206.6366,ILS,Flexi
7_5_1,2053,4552.0,795,5882,7221.6239,ILS,Flexi
7_2_1,789,4193.0,279,674,7214.6229,SAILS,Operative
7_2_2,791,3994.0,281,656,7215.2788,SAILS,Operative
7_5_1,1668,9799.0,644,516,7224.8532,SAILS,Operative
7_5_2,1666,10526.0,636,508,7217.2019,SAILS,Operative
7_8_1,2166,16537.0,934,662,7230.7252,SAILS,Operative
7_8_2,2154,15641.0,932,576,7229.9359,SAILS,Operative
7_2_1,788,3574.0,279,6345,7212.8358,ILS,Operative
7_2_2,789,3348.0,280,6461,7215.2449,ILS,Operative
7_5_1,1674,9556.0,643,4243,7224.4552,ILS,Operative
7_5_2,1669,10176.0,638,4538,7220.0943,ILS,Operative
7_8_1,2166,17257.0,932,5661,7235.2644,ILS,Operative
7_8_2,2154,15711.0,929,6040,7235.749,ILS,Operative
7_2_1,781,1850.0,276,181,7244.991,ISALS,Operative
7_2_2,778,2599.0,275,106,7328.7141,ISALS,Operative
7_5_1,1678,6361.0,645,249,7210.6944,ISALS,Operative
7_5_2,1683,4942.0,646,303,7230.7957,ISALS,Operative
7_8_1,2180,9661.0,949,677,7249.9081,ISALS,Operative
7_8_2,2168,10987.0,943,490,7236.5061,ISALS,Operative
