Instance,Parametercombination,Profit,WaitingTime,TotalTasks,RunTime
7_2_1,1,723,6779.0,258,0.3513
7_2_2,1,729,8806.0,262,0.3528
7_5_1,1,1583,18178.0,603,0.6455
7_5_2,1,1595,18203.0,608,0.6557
7_8_1,1,2087,29519.0,870,0.7858
7_8_2,1,2066,28755.0,861,0.8085
7_10_1,1,2303,49863.0,1070,0.8077
7_10_2,1,2298,43345.0,1065,0.8084
7_2_1,2,734,5470.0,262,3.6688
7_2_2,2,729,8806.0,262,3.6838
7_5_1,2,1583,18178.0,603,4.3232
7_5_2,2,1595,18203.0,608,4.3193
7_8_1,2,2087,29519.0,870,4.6294
7_8_2,2,2066,28755.0,861,4.769
7_10_1,2,2303,49863.0,1070,4.7342
7_10_2,2,2299,45238.0,1066,4.7199
7_2_1,3,739,5741.0,262,7.1268
7_2_2,3,731,6785.0,260,7.3019
7_5_1,3,1583,18178.0,603,9.7269
7_5_2,3,1595,18203.0,608,9.2406
7_8_1,3,2087,29519.0,870,13.2599
7_8_2,3,2066,28755.0,861,13.2763
7_10_1,3,2303,49863.0,1070,17.929
7_10_2,3,2303,48437.0,1070,17.8513
