jobs_to_remove,sublists_to_modify,consecutive_to_remove,start_temperature,temp_decrease_factor,maxInnerLoop,maxIterationsWithoutImprovement,neighborhoodEvaluationStrategyDelta,TotalProfit,WaitingTime,TotalTasks
3,2,3,250,0.95,9,3,FirstImprovement,2129,23534.0,907
3,2,3,250,0.95,9,3,BestImprovement,2140,20494.0,911
3,2,3,250,0.95,45,15,FirstImprovement,2140,20556.0,911
3,2,3,250,0.95,45,15,BestImprovement,2141,20072.0,912
3,2,3,1000,0.95,9,3,FirstImprovement,2142,19977.0,912
3,2,3,1000,0.95,9,3,BestImprovement,2144,18573.0,915
3,2,3,1000,0.95,45,15,FirstImprovement,2144,18662.0,915
3,2,3,1000,0.95,45,15,BestImprovement,2144,18941.0,915
3,2,6,250,0.95,9,3,FirstImprovement,2145,18571.0,916
3,2,6,250,0.95,9,3,BestImprovement,2145,18959.0,916
3,2,6,250,0.95,45,15,FirstImprovement,2145,18997.0,916
3,2,6,250,0.95,45,15,BestImprovement,2145,19170.0,916
3,2,6,1000,0.95,9,3,FirstImprovement,2146,18631.0,917
3,2,6,1000,0.95,9,3,BestImprovement,2146,18778.0,917
3,2,6,1000,0.95,45,15,FirstImprovement,2146,18840.0,917
3,2,6,1000,0.95,45,15,BestImprovement,2146,18864.0,917
3,5,3,250,0.95,9,3,FirstImprovement,2146,18864.0,917
3,5,3,250,0.95,9,3,BestImprovement,2147,18834.0,918
3,5,3,250,0.95,45,15,FirstImprovement,2147,18945.0,918
3,5,3,250,0.95,45,15,BestImprovement,2147,18945.0,918
3,5,3,1000,0.95,9,3,FirstImprovement,2148,18535.0,918
3,5,3,1000,0.95,9,3,BestImprovement,2148,18658.0,918
3,5,3,1000,0.95,45,15,FirstImprovement,2148,18849.0,918
3,5,3,1000,0.95,45,15,BestImprovement,2148,18923.0,918
3,5,6,250,0.95,9,3,FirstImprovement,2148,18956.0,918
3,5,6,250,0.95,9,3,BestImprovement,2149,18951.0,919
3,5,6,250,0.95,45,15,FirstImprovement,2149,19074.0,919
3,5,6,250,0.95,45,15,BestImprovement,2149,19074.0,919
3,5,6,1000,0.95,9,3,FirstImprovement,2149,19107.0,919
3,5,6,1000,0.95,9,3,BestImprovement,2149,19305.0,919
3,5,6,1000,0.95,45,15,FirstImprovement,2149,19321.0,919
3,5,6,1000,0.95,45,15,BestImprovement,2149,19511.0,919
9,2,3,250,0.95,9,3,FirstImprovement,2149,19723.0,919
9,2,3,250,0.95,9,3,BestImprovement,2150,19543.0,919
9,2,3,250,0.95,45,15,FirstImprovement,2150,19615.0,919
9,2,3,250,0.95,45,15,BestImprovement,2150,19615.0,919
9,2,3,1000,0.95,9,3,FirstImprovement,2150,19736.0,919
9,2,3,1000,0.95,9,3,BestImprovement,2150,19753.0,919
9,2,3,1000,0.95,45,15,FirstImprovement,2150,19753.0,919
9,2,3,1000,0.95,45,15,BestImprovement,2150,19753.0,919
9,2,6,250,0.95,9,3,FirstImprovement,2150,19781.0,919
9,2,6,250,0.95,9,3,BestImprovement,2150,19808.0,919
9,2,6,250,0.95,45,15,FirstImprovement,2150,19814.0,919
9,2,6,250,0.95,45,15,BestImprovement,2150,19876.0,919
9,2,6,1000,0.95,9,3,FirstImprovement,2150,19943.0,919
9,2,6,1000,0.95,9,3,BestImprovement,2150,19974.0,919
9,2,6,1000,0.95,45,15,FirstImprovement,2150,19984.0,919
9,2,6,1000,0.95,45,15,BestImprovement,2150,20046.0,919
9,5,3,250,0.95,9,3,FirstImprovement,2150,20168.0,919
9,5,3,250,0.95,9,3,BestImprovement,2151,19602.0,920
9,5,3,250,0.95,45,15,FirstImprovement,2151,19602.0,920
9,5,3,250,0.95,45,15,BestImprovement,2151,19602.0,920
9,5,3,1000,0.95,9,3,FirstImprovement,2151,19615.0,920
9,5,3,1000,0.95,9,3,BestImprovement,2151,19683.0,919
9,5,3,1000,0.95,45,15,FirstImprovement,2151,19704.0,919
9,5,3,1000,0.95,45,15,BestImprovement,2151,19704.0,919
9,5,6,250,0.95,9,3,FirstImprovement,2151,19704.0,919
9,5,6,250,0.95,9,3,BestImprovement,2151,19704.0,919
9,5,6,250,0.95,45,15,FirstImprovement,2151,19716.0,919
9,5,6,250,0.95,45,15,BestImprovement,2151,19716.0,919
9,5,6,1000,0.95,9,3,FirstImprovement,2151,19856.0,919
9,5,6,1000,0.95,9,3,BestImprovement,2151,19919.0,919
9,5,6,1000,0.95,45,15,FirstImprovement,2151,19932.0,919
9,5,6,1000,0.95,45,15,BestImprovement,2151,19934.0,919
