start_temperature,min_temperature,temp_decrease_factor,TotalIterations,TotalProfit,WaitingTime,TotalTasks
100,1e-20,0.9,6,2110,26142.0,892
100,1e-20,0.95,4,2113,26458.0,896
100,1e-20,0.99,2,2112,29313.0,891
100,1e-40,0.9,4,2109,27635.0,890
100,1e-40,0.95,3,2114,26357.0,895
100,1e-40,0.99,2,2121,27837.0,899
100,1e-60,0.9,3,2109,26416.0,888
100,1e-60,0.95,3,2116,27186.0,897
100,1e-60,0.99,2,2121,30008.0,900
1000,1e-20,0.9,6,2115,21730.0,896
1000,1e-20,0.95,4,2111,25175.0,891
1000,1e-20,0.99,2,2114,28608.0,892
1000,1e-40,0.9,4,2113,24134.0,894
1000,1e-40,0.95,3,2112,25407.0,893
1000,1e-40,0.99,2,2124,25381.0,903
1000,1e-60,0.9,3,2114,24044.0,896
1000,1e-60,0.95,3,2114,26852.0,895
1000,1e-60,0.99,2,2126,26307.0,906
10000,1e-20,0.9,7,2111,21813.0,891
10000,1e-20,0.95,4,2111,22048.0,890
10000,1e-20,0.99,2,2113,26885.0,888
10000,1e-40,0.9,4,2108,24115.0,889
10000,1e-40,0.95,3,2109,25839.0,890
10000,1e-40,0.99,2,2124,25434.0,897
10000,1e-60,0.9,4,2116,23741.0,896
10000,1e-60,0.95,3,2120,24122.0,898
10000,1e-60,0.99,2,2128,25035.0,900
